"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","L'Oréal","OR.PA","232320548391","435.296","France"
"2","Givaudan","GIVN.SW","47610993884","5160.38","Switzerland"
"3","Estee Lauder","EL","34276634624","95.485","United States"
"4","International Flavors & Fragrances","IFF","25548005376","99.93","United States"
"5","Kaō","4452.T","22340138297","48.0967","Japan"
"6","Galderma Group","GALD.SW","21748606771","91.5476","Switzerland"
"7","ULTA Beauty","ULTA","17464240128","370.675","United States"
"8","Puig Brands","PUIG.MC","12450396748","22.1026","Spain"
"9","Shiseido","4911.T","10355971962","25.9273","Japan"
"10","Coty","COTY","8083975680","9.315","United States"
"11","Amorepacific","090430.KS","5955198511","96.9891","South Korea"
"12","e.l.f. Cosmetics","ELF","5697463808","101.04","United States"
"13","Natura&Co","NTCO3.SA","3760923329","2.71419","Brazil"
"14","Kosé","4922.T","3599732733","63.0813","Japan"
"15","Douglas Group","DOU.DE","2382639499","22.1246","Germany"
"16","Intercos","ICOS.MI","1700350003","17.6645","Italy"
"17","Sally Beauty Holdings","SBH","1359506560","13.245","United States"
"18","Waldencast","WALD","431156928","3.515","United States"
"19","Yatsen Holding","YSG","339052512","3.375","China"
"20","Nu Skin","NUS","312871584","6.295","United States"
"21","Perfect Corp.","PERF","197576880","1.9399","Taiwan"
"22","The Beauty Health Company","SKIN","191610896","1.545","United States"
"23","Lifevantage","LFVN","143528544","11.497","United States"
"24","Cutera","CUTR","14839545","0.7326","United States"
"25","Elevai Labs","ELAB","3118983","0.105","United States"
