Country,Revenue in millions(USD)
Fiji,7.22
Tanzania,200.77
W. Sahara,0
Canada,955.20
United States of America,"12,698.91"
Kazakhstan,120.95
Uzbekistan,78.24
Papua New Guinea,38.06
Indonesia,730.44
Argentina,50.96
Chile,270.49
Dem. Rep. Congo,0
Somalia,0
Kenya,108.13
Sudan,4.01
Chad,59.70
Haiti,24.71
Dominican Rep.,0
Russia,"1,168.28"
Bahamas,0
Falkland Is.,0
Norway,197.46
Greenland,0
Fr. S. Antarctic Lands,0
Timor-Leste,7.32
South Africa,232.95
Lesotho,7.23
Mexico,"1,071.69"
Uruguay,38.50
Brazil,"1,434.88"
Bolivia,65.91
Peru,185.85
Colombia,262.28
Panama,67.32
Costa Rica,65.82
Nicaragua,26.10
Honduras,46.11
El Salvador,44.12
Guatemala,105.25
Belize,5.33
Venezuela,0
Guyana,4.35
Suriname,0.74
France,"3,448"
Ecuador,111.16
Puerto Rico,0
Jamaica,31.22
Cuba,92.14
Zimbabwe,0.55
Botswana,11.98
Namibia,15.05
Senegal,65.66
Mali,0
Mauritania,0
Benin,45.55
Niger,85.18
Nigeria,285.45
Cameroon,108.34
Togo,30.99
Ghana,76.61
Côte d'Ivoire,0
Guinea,34.45
Guinea-Bissau,0
Liberia,0
Sierra Leone,13.49
Burkina Faso,75.65
Central African Rep.,0
Congo,0
Gabon,12.07
Eq. Guinea,0
Zambia,26.45
Malawi,43.96
Mozambique,91.86
eSwatini,0
Angola,41.57
Burundi,32.92
Israel,244.16
Lebanon,16.46
Madagascar,70.62
Palestine,0
Gambia,6.44
Tunisia,49.34
Algeria,137.76
Jordan,66.93
United Arab Emirates,140.08
Qatar,66.99
Kuwait,59.69
Iraq,215.49
Oman,40.29
Vanuatu,0
Cambodia,81.95
Thailand,532.91
Laos,32.75
Myanmar,186.77
Vietnam,238.73
North Korea,0
South Korea,"1,272.24"
Mongolia,14.40
India,"2,212.15"
Bangladesh,782.15
Bhutan,4.30
Nepal,121.50
Pakistan,447.48
Afghanistan,0
Tajikistan,34.84
Kyrgyzstan,25.49
Turkmenistan,33.37
Iran,210.58
Syria,0
Armenia,21.64
Sweden,391.81
Belarus,53.74
Ukraine,143.54
Poland,662.14
Austria,327.77
Hungary,135.39
Moldova,25.72
Romania,232.90
Lithuania,58.56
Latvia,29.74
Estonia,24.33
Germany,"2,733.45"
Bulgaria,75.90
Greece,185.03
Turkey,256.52
Albania,31.81
Croatia,69.66
Switzerland,422.17
Luxembourg,32.42
Belgium,424.74
Netherlands,614.69
Portugal,286.58
Spain,"1,668.18"
Ireland,167.40
New Caledonia,0
Solomon Is.,0
New Zealand,126.75
Australia,705.86
Sri Lanka,96.22
China,"8,523.45"
Taiwan,0
Italy,"1,836.93"
Denmark,276.78
United Kingdom,"3,309.54"
Iceland,19.17
Azerbaijan,79.37
Georgia,25.26
Philippines,657.62
Malaysia,343.68
Brunei,0
Slovenia,41.53
Finland,187.42
Slovakia,86.44
Czechia,192.19
Eritrea,0
Japan,"10,481.47"
Paraguay,32.36
Yemen,0
Saudi Arabia,467.07
Antarctica,0
N. Cyprus,0
Cyprus,26.99
Morocco,141.48
Egypt,435.81
Libya,0
Ethiopia,169.15
Djibouti,0
Somaliland,0
Uganda,149.55
Rwanda,33.08
Bosnia and Herz.,0
North Macedonia,19.79
Serbia,73.42
Montenegro,8.93
Kosovo,0
Trinidad and Tobago,0
S. Sudan,0
