Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Albania,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2,2,2,2,2,2,2,2,2,2,2,2
Angola,2,2,1,1,2,2,2,2,2,2,3,3
Argentina,5,5,4,4,5,6,6,6,6,7,7,7
Armenia,0,0,0,0,0,0,0,0,0,0,0,0
Australia,6,6,5,6,7,7,7,8,8,8,8,8
Austria,2,2,2,2,2,2,2,2,3,3,3,3
Azerbaijan,1,1,1,1,1,1,1,1,1,1,1,1
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,9,9,9,9,10,11,11,12,12,12,13,13
Belarus,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,3,3,2,3,3,3,3,3,3,3,3,3
Belize,0,0,0,0,0,0,0,0,0,0,0,0
Benin,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,25,25,19,19,22,25,27,29,30,32,33,34
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,1,1,1,1,1,1,1,1,1,2,2,2
Burundi,0,0,0,0,1,1,1,1,1,1,1,1
Cambodia,1,1,1,1,1,1,1,1,1,1,1,1
Cameroon,1,1,1,2,2,2,2,2,2,2,2,2
Canada,8,8,8,8,8,9,9,9,9,9,9,10
Chad,1,1,1,1,1,1,1,1,1,1,1,1
Chile,3,2,2,2,3,3,4,4,4,4,5,5
China,55,56,57,60,63,67,70,74,78,82,85,87
Colombia,3,3,3,3,3,4,4,4,5,5,5,5
Costa Rica,0,0,0,0,1,1,1,1,1,1,1,1
Croatia,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,1,1,1,1,1,1,1,1,2,2,2,2
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0
